,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
180,31000,Nebraska,2000,76368100000.0,1713820.0,Nebraska,NE,44560.163844511095,10.704595551535858
181,32000,Nevada,2000,105635400000.0,2018741.0,Nevada,NV,52327.366413026735,10.86527477157636
182,33000,New Hampshire,2000,56779400000.0,1239882.0,New Hampshire,NH,45794.19654450988,10.731912649071537
183,34000,New Jersey,2000,471426900000.0,8430621.0,New Jersey,NJ,55918.40743404312,10.931648897139542
184,35000,New Mexico,2000,71652800000.0,1821204.0,New Mexico,NM,39343.64299661103,10.580089690518177
185,36000,New York,2000,1092188200000.0,19001780.0,New York,NY,57478.20467345691,10.95916110577088
186,37000,North Carolina,2000,356912500000.0,8081614.0,North Carolina,NC,44163.517337007186,10.695654327620744
187,38000,North Dakota,2000,24706000000.0,642023.0,North Dakota,ND,38481.48742334776,10.557932558485483
188,39000,Ohio,2000,509949200000.0,11363543.0,Ohio,OH,44875.89830038044,10.711656143426001
189,40000,Oklahoma,2000,124227600000.0,3454365.0,Oklahoma,OK,35962.49962004594,10.490231997294519
190,41000,Oregon,2000,137400600000.0,3429708.0,Oregon,OR,40061.89448197922,10.598180899214432
191,42000,Pennsylvania,2000,538790199999.99994,12284173.0,Pennsylvania,PA,43860.51873414677,10.68876984894587
192,44000,Rhode Island,2000,45178600000.0,1050268.0,Rhode Island,RI,43016.25870730137,10.669333432682452
193,45000,South Carolina,2000,150156400000.0,4024223.0,South Carolina,SC,37313.14094671195,10.527100847788747
194,46000,South Dakota,2000,29386100000.0,755844.0,South Dakota,SD,38878.525198321346,10.568197325712992
195,47000,Tennessee,2000,233732200000.0,5703719.0,Tennessee,TN,40978.912179930325,10.62081287629489
196,48000,Texas,2000,995661200000.0,20944499.0,Texas,TX,47538.0767045323,10.769286283733422
197,49000,Utah,2000,92498400000.0,2244502.0,Utah,UT,41211.10161630509,10.626462955747114
198,50000,Vermont,2000,23016800000.0,609618.0,Vermont,VT,37756.10300220794,10.538902410542818
199,51000,Virginia,2000,348327000000.0,7105817.0,Virginia,VA,49019.97898341598,10.799983228347127
200,53000,Washington,2000,311209900000.0,5910512.0,Washington,WA,52653.62797673028,10.871490422628383
201,54000,West Virginia,2000,61665700000.0,1807021.0,West Virginia,WV,34125.61337139967,10.437803506579195
202,55000,Wisconsin,2000,232411700000.0,5373999.0,Wisconsin,WI,43247.44012791964,10.674693322814592
203,56000,Wyoming,2000,27435000000.0,494300.0,Wyoming,WY,55502.731134938294,10.9241875081623
204,01000,Alabama,2001,156853200000.0,4467634.0,Alabama,AL,35108.78464977212,10.466206653062695
205,02000,Alaska,2001,40958700000.0,633714.0,Alaska,AK,64632.78387411356,11.076477051352391
206,04000,Arizona,2001,213166200000.0,5273477.0,Arizona,AZ,40422.324777371745,10.607137504824978
207,05000,Arkansas,2001,89789000000.0,2691571.0,Arkansas,AR,33359.32806528232,10.415092714341844
208,06000,California,2001,1692324100000.0,34479458.0,California,CA,49082.096940154916,10.801249622854195
209,08000,Colorado,2001,234979400000.0,4425687.0,Colorado,CO,53094.44612779892,10.879827609063014
210,09000,Connecticut,2001,218135300000.0,3432835.0,Connecticut,CT,63543.77649959873,11.059484341052576
211,10000,Delaware,2001,58372700000.0,795699.0,Delaware,DE,73360.27819564936,11.203137899121211
212,11000,District of Columbia,2001,88440700000.0,574504.0,District of Columbia,DC,153942.7053597538,11.944335769052072
213,12000,Florida,2001,660659500000.0,16356966.0,Florida,FL,40390.100462396265,10.606339995863012
214,13000,Georgia,2001,394317300000.0,8377038.0,Georgia,GA,47071.20822419571,10.759416802733604
215,15000,Hawaii,2001,55678500000.0,1225948.0,Hawaii,HI,45416.689778033,10.723634932731372
216,16000,Idaho,2001,46084500000.0,1319962.0,Idaho,ID,34913.50508575247,10.4606289985466
217,17000,Illinois,2001,642292500000.0,12488445.0,Illinois,IL,51430.94276349057,10.847995269604073
218,18000,Indiana,2001,259474800000.0,6127760.0,Indiana,IN,42344.15185973341,10.653585599865547
219,19000,Iowa,2001,120449800000.0,2931997.0,Iowa,IA,41081.147081664814,10.6233045867701
220,20000,Kansas,2001,114327700000.0,2702162.0,Kansas,KS,42309.71348127907,10.652771971799883
221,21000,Kentucky,2001,151834300000.0,4068132.0,Kentucky,KY,37322.85481395392,10.527361147586392
222,22000,Louisiana,2001,208617800000.0,4477875.0,Louisiana,LA,46588.57158808587,10.749110545145431
223,23000,Maine,2001,49471000000.0,1285692.0,Maine,ME,38478.11139837535,10.557844823491376
224,24000,Maryland,2001,261532900000.0,5374691.0,Maryland,MD,48660.081109779145,10.79261428320376
225,25000,Massachusetts,2001,362663800000.0,6397634.0,Massachusetts,MA,56687.17529011506,10.945303278772554
226,26000,Michigan,2001,425103200000.0,9991120.0,Michigan,MI,42548.102715211106,10.658390543470622
227,27000,Minnesota,2001,247599400000.0,4982796.0,Minnesota,MN,49690.85629835137,10.813576217258335
228,28000,Mississippi,2001,87309500000.0,2852994.0,Mississippi,MS,30602.763272548065,10.328845586887846
229,29000,Missouri,2001,243060400000.0,5641142.0,Missouri,MO,43087.09123081816,10.670978723824927
230,30000,Montana,2001,31532600000.0,906961.0,Montana,MT,34767.31634546579,10.45643303897643
231,31000,Nebraska,2001,78180900000.0,1719836.0,Nebraska,NE,45458.34602834224,10.724551713734147
232,32000,Nevada,2001,106635300000.0,2098399.0,Nevada,NV,50817.45654663388,10.835995207346096
233,33000,New Hampshire,2001,57632600000.0,1255517.0,New Hampshire,NH,45903.480398911364,10.734296218858358
234,34000,New Jersey,2001,476616700000.0,8492671.0,New Jersey,NJ,56120.94239845156,10.935264326635124
235,35000,New Mexico,2001,71730500000.0,1831690.0,New Mexico,NM,39160.82961636521,10.57543228172048
236,36000,New York,2001,1112794400000.0,19082838.0,New York,NY,58313.88392020097,10.973595490130391
237,37000,North Carolina,2001,359617000000.0,8210122.0,North Carolina,NC,43801.66336139706,10.687427071931062
238,38000,North Dakota,2001,24909900000.0,639062.0,North Dakota,ND,38978.847122814375,10.57077439650345
239,39000,Ohio,2001,502967600000.0,11387404.0,Ohio,OH,44168.76752594358,10.695773201234186
240,40000,Oklahoma,2001,128891200000.0,3467100.0,Oklahoma,OK,37175.506907790375,10.523405406952683
241,41000,Oregon,2001,136166100000.0,3467937.0,Oregon,OR,39264.29459358691,10.578070850375394
242,42000,Pennsylvania,2001,547260900000.0,12298970.0,Pennsylvania,PA,44496.48222574736,10.703165413922827
243,44000,Rhode Island,2001,45749800000.0,1057142.0,Rhode Island,RI,43276.872927194265,10.675373658765741
244,45000,South Carolina,2001,151015900000.0,4064995.0,South Carolina,SC,37150.32859819016,10.522727895280143
245,46000,South Dakota,2001,29455200000.0,757972.0,South Dakota,SD,38860.53838400363,10.567734577287432
246,47000,Tennessee,2001,233362500000.0,5750789.0,Tennessee,TN,40579.21443474974,10.611011254758465
247,48000,Texas,2001,1020537800000.0,21319622.0,Texas,TX,47868.47534163598,10.776212431903064
