,GeoName,Year,Real GDP per capita,log GDP per capita
736,Guizhou,1999,3092664025.9745703,21.852298700751454
737,Yunnan,1999,5480996739.576062,22.424552808150892
738,Tibet,1999,4989658986.53706,22.330633405003265
739,Shaanxi,1999,5199479991.670611,22.371824455931495
740,Gansu,1999,4687894450.457779,22.268249374133568
741,Qinghai,1999,6383808227.5014305,22.57703065709094
742,Ningxia,1999,6116518130.564179,22.534258838652555
743,Xinjiang,1999,7789397965.144469,22.776029410805926
744,Beijing,1998,23275730101.83321,23.870677028117377
745,Tianjin,1998,16105672443.434294,23.50243737256386
746,Hebei,1998,6993613720.227355,22.66826324389755
747,Shanxi,1998,6316088805.537356,22.56636599364903
748,Inner Mongolia,1998,6591208931.669766,22.60900261805482
749,Liaoning,1998,10814898264.316263,23.104190489401617
750,Jilin,1998,6943310638.338488,22.661044534943606
751,Heilongjiang,1998,7548555330.543666,22.74462203495032
752,Shanghai,1998,30205548859.471664,24.131291481518247
753,Jiangsu,1998,11784427152.787327,23.190044763989096
754,Zhejiang,1998,13101939298.7955,23.296026094272953
755,Anhui,1998,5348176953.975036,22.40002158351737
756,Fujian,1998,11102120291.815016,23.130401944303856
757,Jiangxi,1998,4859524548.022563,22.304206440448198
758,Shandong,1998,9421755153.700043,22.96628723022772
759,Henan,1998,5446061932.671288,22.418158603272737
760,Hubei,1998,6257892262.718645,22.557109266116278
761,Hunan,1998,5848596468.219022,22.489467549442217
762,Guangdong,1998,11992581750.735697,23.20755410813908
763,Guangxi,1998,5018809441.182396,22.336458579411353
764,Hainan,1998,6729884033.304921,22.62982374914774
765,Chongqing,1998,6205082309.573429,22.548634520555037
766,Sichuan,1998,5345210623.591829,22.399466786370482
767,Guizhou,1998,2875586960.770643,21.779522650625903
768,Yunnan,1998,5437204080.677011,22.41653080993583
769,Tibet,1998,4406730735.300809,22.20639892162054
770,Shaanxi,1998,4716487752.89735,22.27433023940019
771,Gansu,1998,4349877158.967783,22.193413442330517
772,Qinghai,1998,6016516469.234496,22.517774269183462
773,Ningxia,1998,5750775311.736567,22.472600519489752
774,Xinjiang,1998,7479113227.204029,22.73538006939206
775,Beijing,1997,21167330854.48446,23.77572483263666
776,Tianjin,1997,15492136193.128885,23.46359838975114
777,Hebei,1997,6780707536.77749,22.637347289910817
778,Shanxi,1997,6027068343.729738,22.51952655097648
779,Inner Mongolia,1997,6345044469.349358,22.5709399466539
780,Liaoning,1997,10332994897.950115,23.058608000415816
781,Jilin,1997,6728462580.774135,22.62961251182761
782,Heilongjiang,1997,7695856776.99385,22.763947940078676
783,Shanghai,1997,28812139128.3498,24.084062632795334
784,Jiangsu,1997,11176157685.859201,23.137048568130385
785,Zhejiang,1997,12546840197.902784,23.2527346937635
786,Anhui,1997,4990621244.06712,22.33082623676967
787,Fujian,1997,10317324206.519657,23.05709028106637
788,Jiangxi,1997,4675465931.533444,22.265594659220017
789,Shandong,1997,9069276509.463505,22.928158330467777
790,Henan,1997,5328314155.994309,22.396300731658382
791,Hubei,1997,5965874650.477328,22.509321512170793
792,Hunan,1997,5694154422.205884,22.46270594559712
793,Guangdong,1997,11436530499.890574,23.160078498918402
794,Guangxi,1997,4572387149.757056,22.243301257718514
795,Hainan,1997,6387852931.1088915,22.57766404435239
796,Chongqing,1997,6008995557.332114,22.516523442962285
797,Sichuan,1997,5275043219.672262,22.386252709577775
798,Guizhou,1997,2829971685.377708,21.763532543384617
799,Yunnan,1997,5256456790.638365,22.382723022769138
800,Tibet,1997,,
801,Shaanxi,1997,4656265041.461829,22.26147947046799
802,Gansu,1997,4043716318.9642878,22.120429987020042
803,Qinghai,1997,5873555879.937052,22.493726059090687
804,Ningxia,1997,5541722708.185932,22.435571247524443
805,Xinjiang,1997,7346315963.125794,22.71746479500696
806,Beijing,1996,20202468238.899017,23.72907062393348
807,Tianjin,1996,15077260039.437683,23.436453488020184
808,Hebei,1996,6402062684.033665,22.57988606976662
